Defendant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
7788,Guessing,Completely confident,Confident,Guessing,Completely confident,Neither,Confident,Completely confident,Confident,Completely confident,Completely confident,Guessing,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Completely guessing
7847,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Completely confident,Confident,Completely confident,Neither,Completely confident,Neither,Confident,Neither,Completely guessing
10975,Confident,Confident,Guessing,Guessing,Confident,Guessing,Confident,Guessing,Neither,Confident,Neither,Guessing,Confident,Confident,Neither,Completely confident,Confident,Confident,Guessing,Neither
10946,Confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Completely confident,Guessing,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Neither,Confident,Guessing,Completely guessing
10935,Guessing,Confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Guessing,Completely confident,Neither,Confident,Completely confident,Confident,Confident,Confident,Guessing
10807,Completely confident,Completely confident,Guessing,Confident,Completely confident,Neither,Confident,Completely confident,Guessing,Confident,Confident,Neither,Confident,Neither,Neither,Completely confident,Neither,Confident,Neither,Guessing
10762,Confident,Confident,Guessing,Confident,Confident,Neither,Confident,Confident,Confident,Confident,Confident,Neither,Neither,Confident,Confident,Completely confident,Confident,Confident,Neither,Guessing
10720,Confident,Completely confident,Guessing,Guessing,Confident,Neither,Confident,Confident,Guessing,Confident,Confident,Confident,Neither,Confident,Confident,Completely confident,Neither,Confident,Neither,Neither
10703,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Completely confident,Completely confident,Neither,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident
10699,Completely guessing,Completely confident,Confident,Guessing,Completely confident,Neither,Confident,Completely confident,Confident,Completely confident,Completely confident,Neither,Completely confident,Completely confident,Completely confident,Confident,Confident,Confident,Completely confident,Completely guessing
10580,Confident,Confident,Guessing,Confident,Confident,Neither,Confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Guessing,Confident,Confident,Guessing
10577,Confident,Confident,Guessing,Completely confident,Guessing,Confident,Completely confident,Confident,Confident,Confident,Guessing,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Guessing
10509,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Guessing,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Neither,Confident,Neither,Neither
10406,Neither,Confident,Guessing,Confident,Neither,Confident,Confident,Confident,Guessing,Confident,Confident,Confident,Neither,Confident,Confident,Confident,Guessing,Confident,Neither,Completely guessing
10394,Completely confident,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Completely confident,Guessing,Confident,Confident,Completely confident,Completely confident,Confident,Completely confident,Completely confident,Neither,Confident,Neither,Confident
10377,Confident,Confident,Neither,Completely guessing,Completely guessing,Neither,Completely confident,Confident,Guessing,Confident,Confident,Neither,Confident,Confident,Neither,Confident,Completely guessing,Confident,Neither,Confident
10369,Confident,Confident,Guessing,Guessing,Confident,Neither,Confident,Confident,Neither,Confident,Confident,Guessing,Neither,Completely confident,Confident,Completely confident,Confident,Confident,Guessing,Guessing
10243,Completely confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Completely confident,Completely confident,Neither,Confident,Confident,Confident,Confident,Completely confident,Completely guessing
10044,Completely confident,Completely confident,Confident,Completely confident,Confident,Confident,Confident,Completely confident,Confident,Neither,Confident,Completely confident,Completely confident,Neither,Confident,Completely confident,Confident,Confident,Confident,Guessing
9953,Neither,Confident,Guessing,Guessing,Guessing,Neither,Confident,Confident,Neither,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Confident,Confident,Neither,Guessing
9924,Confident,Completely confident,Confident,Guessing,Guessing,Confident,Confident,Neither,Guessing,Neither,Neither,Confident,Neither,Confident,Neither,Completely confident,Neither,Confident,Guessing,Guessing
9919,Completely confident,Completely confident,Confident,Completely confident,Confident,Confident,Completely confident,Completely confident,Confident,Neither,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Guessing
9914,Neither,Completely confident,Guessing,Completely confident,Confident,Confident,Confident,Neither,Neither,Confident,Neither,Guessing,Completely confident,Confident,Neither,Completely confident,Neither,Confident,Confident,Confident
9852,Confident,Completely confident,Confident,Guessing,Neither,Confident,Confident,Confident,Guessing,Confident,Confident,Guessing,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident
9844,Confident,Confident,Confident,Completely guessing,Confident,Neither,Confident,Confident,Guessing,Confident,Confident,Guessing,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Completely guessing
9730,Completely confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Neither,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Guessing,Confident,Neither,Completely guessing
9586,Completely confident,Completely confident,Confident,Completely confident,Neither,Confident,Confident,Completely confident,Confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Guessing,Confident,Confident,Completely guessing
9581,Guessing,Completely confident,Guessing,Confident,Completely guessing,Neither,Confident,Confident,Guessing,Neither,Confident,Confident,Confident,Confident,Guessing,Completely confident,Guessing,Confident,Guessing,Guessing
9556,Neither,Confident,Confident,Guessing,Confident,Confident,Confident,Confident,Guessing,Neither,Confident,Confident,Neither,Confident,Completely confident,Completely confident,Confident,Confident,Confident,Neither
9337,Neither,Confident,Neither,Confident,Neither,Confident,Confident,Confident,Guessing,Confident,Confident,Guessing,Confident,Confident,Completely confident,Completely confident,Neither,Confident,Neither,Completely guessing
9303,Completely confident,Completely confident,Confident,Completely confident,Confident,Confident,Completely confident,Completely confident,Confident,Confident,Confident,Confident,Completely confident,Confident,Completely confident,Confident,Neither,Confident,Confident,Guessing
9283,Confident,Completely confident,Confident,Guessing,Confident,Confident,Completely confident,Completely confident,Neither,Completely confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Confident,Confident,Neither,Guessing
9246,Completely confident,Completely confident,Confident,Completely confident,Confident,Confident,Confident,Completely confident,Confident,Neither,Confident,Neither,Completely confident,Confident,Completely confident,Confident,Neither,Confident,Neither,Confident
9231,Neither,Completely confident,Guessing,Guessing,Confident,Neither,Confident,Completely confident,Guessing,Confident,Confident,Guessing,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Neither
9219,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Completely confident,Confident,Guessing,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident
9150,Confident,Confident,Guessing,Guessing,Guessing,Neither,Confident,Completely confident,Guessing,Confident,Confident,Neither,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Neither,Confident
9041,Confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Completely confident,Confident,Completely confident,Confident,Guessing,Confident,Confident,Completely guessing
9031,Neither,Completely confident,Completely confident,Guessing,Completely confident,Neither,Confident,Completely confident,Completely confident,Confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Completely confident,Confident,Completely confident,Confident
8970,Confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Confident,Neither,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Completely guessing
8962,Completely confident,Completely confident,Guessing,Confident,Completely confident,Confident,Confident,Completely confident,Guessing,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Neither,Confident,Neither,Confident
8929,Confident,Completely confident,Guessing,Confident,Guessing,Confident,Confident,Confident,Guessing,Confident,Confident,Neither,Confident,Confident,Neither,Completely confident,Guessing,Guessing,Guessing,Completely guessing
8881,Confident,Completely confident,Guessing,Completely confident,Guessing,Confident,Confident,Confident,Neither,Neither,Confident,Guessing,Confident,Neither,Neither,Completely confident,Neither,Guessing,Confident,Completely guessing
8747,Confident,Completely confident,Confident,Guessing,Completely confident,Confident,Confident,Neither,Guessing,Confident,Neither,Confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident
8641,Confident,Completely confident,Completely guessing,Completely confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Confident,Confident,Neither,Confident
8534,Confident,Completely confident,Confident,Guessing,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Guessing,Confident,Confident,Confident,Completely confident,Completely guessing,Confident,Confident,Completely confident
8530,Confident,Confident,Guessing,Guessing,Confident,Confident,Confident,Confident,Neither,Confident,Confident,Guessing,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Neither,Confident
8438,Neither,Completely confident,Confident,Completely guessing,Confident,Guessing,Confident,Completely confident,Neither,Completely confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Confident,Completely confident,Confident,Guessing
8149,Neither,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Guessing
8118,Confident,Completely confident,Confident,Confident,Guessing,Confident,Confident,Completely confident,Guessing,Confident,Confident,Guessing,Neither,Confident,Neither,Confident,Guessing,Confident,Confident,Neither
7985,Neither,Completely confident,Neither,Confident,Guessing,Confident,Confident,Neither,Neither,Neither,Confident,Guessing,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Guessing
7975,Completely guessing,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Guessing,Confident,Completely confident,Confident
7945,Neither,Confident,Neither,Confident,Guessing,Neither,Completely confident,Completely confident,Guessing,Confident,Confident,Neither,Confident,Confident,Neither,Completely confident,Confident,Confident,Neither,Confident
7920,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Neither,Neither,Confident,Neither,Neither,Confident,Neither,Completely confident,Confident,Confident,Neither,Confident
7894,Confident,Completely confident,Neither,Guessing,Completely confident,Confident,Confident,Neither,Guessing,Neither,Confident,Neither,Neither,Confident,Neither,Completely confident,Neither,Confident,Guessing,Guessing
