Defendant,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1870,Confident,Completely confident,Confident,Guessing,Neither,Confident,Confident,Confident,Neither,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Confident,Confident,Guessing,Guessing
1904,Confident,Completely confident,Guessing,Completely confident,Confident,Confident,Confident,Neither,Confident,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Guessing,Confident,Guessing,Completely guessing
2020,Completely guessing,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Confident,Neither,Completely confident,Confident,Confident,Completely confident,Guessing,Confident,Completely confident,Neither
2078,Neither,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Neither,Confident,Completely confident,Confident
2128,Neither,Completely confident,Confident,Neither,Completely confident,Confident,Confident,Confident,Neither,Completely confident,Confident,Neither,Completely confident,Confident,Neither,Completely confident,Neither,Confident,Confident,Completely guessing
2182,Guessing,Completely confident,Guessing,Guessing,Completely guessing,Neither,Confident,Confident,Guessing,Confident,Confident,Guessing,Confident,Completely confident,Confident,Confident,Neither,Confident,Neither,Completely guessing
2206,Confident,Confident,Neither,Completely confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident,Confident,Completely confident,Neither,Completely confident,Neither,Confident,Guessing,Neither
2262,Completely confident,Completely confident,Confident,Confident,Neither,Confident,Confident,Completely confident,Neither,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Guessing,Confident,Neither,Completely guessing
2278,Confident,Completely confident,Confident,Completely confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Completely confident,Completely confident,Confident,Neither,Confident,Neither,Confident,Confident,Confident
2353,Confident,Completely confident,Confident,Confident,Neither,Confident,Completely confident,Completely confident,Confident,Confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Guessing,Confident,Confident,Confident
2438,Confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Neither,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Completely guessing,Confident,Neither,Completely guessing
2456,Neither,Completely confident,Confident,Completely guessing,Completely confident,Neither,Confident,Completely confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Completely guessing
2502,Completely guessing,Confident,Guessing,Completely guessing,Neither,Confident,Confident,Neither,Neither,Confident,Confident,Guessing,Confident,Confident,Confident,Completely confident,Neither,Confident,Neither,Neither
2511,Completely guessing,Completely confident,Confident,Guessing,Completely confident,Neither,Completely confident,Completely confident,Guessing,Confident,Confident,Guessing,Confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident
2533,Neither,Completely confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Neither,Confident,Confident,Completely guessing
2586,Neither,Confident,Confident,Guessing,Neither,Confident,Confident,Completely confident,Guessing,Confident,Confident,Guessing,Confident,Confident,Confident,Confident,Neither,Confident,Confident,Confident
2632,Confident,Completely confident,Neither,Guessing,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident,Confident,Neither,Guessing,Completely confident,Completely guessing,Guessing,Confident,Confident
2685,Neither,Completely confident,Neither,Completely guessing,Neither,Confident,Confident,Neither,Neither,Neither,Neither,Neither,Neither,Confident,Neither,Confident,Guessing,Confident,Guessing,Guessing
2723,Guessing,Confident,Confident,Completely guessing,Confident,Neither,Confident,Confident,Guessing,Confident,Confident,Neither,Confident,Completely confident,Confident,Confident,Neither,Confident,Confident,Confident
2790,Confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Guessing,Confident,Neither,Confident
2820,Confident,Completely confident,Confident,Confident,Completely confident,Completely confident,Confident,Completely confident,Neither,Confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Neither,Guessing
2841,Confident,Completely confident,Confident,Confident,Confident,Confident,Neither,Confident,Guessing,Confident,Confident,Neither,Confident,Neither,Confident,Confident,Guessing,Confident,Neither,Confident
2898,Completely confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Guessing,Confident,Neither,Completely guessing
2901,Confident,Confident,Confident,Confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Guessing,Confident,Confident,Guessing
2914,Neither,Completely confident,Confident,Guessing,Neither,Neither,Completely confident,Confident,Guessing,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Completely guessing,Confident,Neither,Completely guessing
2917,Confident,Confident,Neither,Confident,Completely confident,Neither,Confident,Completely confident,Guessing,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Completely guessing
2943,Confident,Completely confident,Neither,Guessing,Confident,Neither,Completely confident,Neither,Guessing,Confident,Neither,Confident,Confident,Confident,Confident,Confident,Neither,Confident,Neither,Confident
3055,Confident,Completely confident,Confident,Guessing,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Guessing,Confident,Confident,Confident,Completely confident,Guessing,Confident,Confident,Confident
3110,Confident,Completely confident,Neither,Confident,Neither,Confident,Completely confident,Completely confident,Neither,Confident,Confident,Completely confident,Neither,Confident,Confident,Completely confident,Guessing,Confident,Confident,Guessing
3145,Neither,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident
3146,Confident,Completely confident,Neither,Confident,Neither,Guessing,Completely confident,Neither,Guessing,Neither,Confident,Guessing,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident
3229,Completely confident,Confident,Guessing,Confident,Confident,Neither,Confident,Confident,Guessing,Confident,Confident,Guessing,Confident,Confident,Neither,Completely confident,Confident,Confident,Guessing,Completely guessing
3255,Confident,Confident,Neither,Confident,Confident,Neither,Confident,Neither,Guessing,Confident,Confident,Confident,Neither,Confident,Confident,Completely confident,Confident,Confident,Neither,Completely confident
3337,Neither,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident,Completely confident,Confident,Neither,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident
3347,Neither,Completely confident,Confident,Guessing,Completely confident,Confident,Confident,Completely confident,Neither,Completely confident,Confident,Neither,Confident,Confident,Completely confident,Completely confident,Neither,Guessing,Confident,Completely guessing
3552,Confident,Completely confident,Confident,Confident,Guessing,Confident,Confident,Completely confident,Neither,Confident,Confident,Neither,Completely confident,Neither,Confident,Completely confident,Confident,Confident,Neither,Guessing
3574,Confident,Completely confident,Guessing,Guessing,Confident,Neither,Confident,Completely confident,Guessing,Confident,Confident,Guessing,Confident,Confident,Confident,Confident,Confident,Confident,Guessing,Guessing
3631,Completely confident,Completely confident,Confident,Completely confident,Neither,Neither,Confident,Completely confident,Confident,Neither,Confident,Confident,Confident,Confident,Neither,Completely confident,Neither,Confident,Neither,Confident
3641,Confident,Completely confident,Confident,Completely confident,Completely guessing,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Neither,Guessing,Neither,Guessing
3647,Confident,Confident,Neither,Guessing,Completely guessing,Confident,Confident,Neither,Guessing,Confident,Neither,Guessing,Neither,Completely confident,Neither,Completely confident,Guessing,Confident,Guessing,Guessing
3679,Completely confident,Completely confident,Confident,Confident,Neither,Completely confident,Confident,Completely confident,Neither,Confident,Confident,Completely confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Neither,Neither
3692,Confident,Completely confident,Confident,Guessing,Completely confident,Neither,Confident,Completely confident,Neither,Completely confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Guessing,Confident,Confident,Confident
3768,Confident,Completely confident,Guessing,Confident,Neither,Confident,Confident,Confident,Guessing,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Guessing,Confident,Confident,Confident
3774,Neither,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Guessing,Confident,Confident,Confident
3805,Neither,Completely confident,Guessing,Completely guessing,Guessing,Confident,Confident,Neither,Guessing,Confident,Confident,Guessing,Neither,Confident,Confident,Completely confident,Confident,Confident,Neither,Confident
3847,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Guessing,Completely confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Guessing,Confident,Neither,Confident
3863,Confident,Completely confident,Guessing,Completely confident,Confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Neither,Confident,Confident,Confident
3941,Confident,Completely confident,Guessing,Confident,Neither,Confident,Confident,Confident,Neither,Neither,Confident,Confident,Completely confident,Completely confident,Completely confident,Completely confident,Guessing,Confident,Confident,Completely confident
3952,Confident,Completely confident,Confident,Completely confident,Confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident,Neither,Confident
4029,Confident,Completely confident,Confident,Confident,Guessing,Confident,Confident,Completely confident,Neither,Neither,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Confident,Completely guessing
4117,Confident,Completely confident,Guessing,Completely confident,Confident,Confident,Confident,Confident,Neither,Confident,Completely confident,Confident,Confident,Neither,Confident,Confident,Neither,Confident,Guessing,Confident
4126,Confident,Completely confident,Guessing,Completely confident,Neither,Confident,Confident,Confident,Neither,Neither,Confident,Confident,Confident,Confident,Confident,Completely confident,Completely guessing,Confident,Confident,Guessing
4290,Confident,Completely confident,Neither,Confident,Confident,Confident,Confident,Confident,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Guessing
4441,Completely confident,Confident,Guessing,Completely confident,Guessing,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Guessing,Guessing
4534,Completely confident,Completely confident,Confident,Completely confident,Confident,Confident,Completely confident,Completely confident,Confident,Neither,Confident,Completely confident,Completely confident,Confident,Neither,Completely confident,Neither,Confident,Neither,Completely guessing
4546,Confident,Completely confident,Guessing,Confident,Completely confident,Confident,Confident,Neither,Neither,Neither,Confident,Confident,Confident,Confident,Completely confident,Completely confident,Guessing,Confident,Confident,Completely guessing
4553,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Completely guessing,Confident,Neither,Guessing
4593,Confident,Completely confident,Neither,Completely confident,Guessing,Confident,Confident,Completely confident,Neither,Confident,Completely confident,Confident,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident
4609,Completely confident,Completely confident,Neither,Completely confident,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Neither,Confident
4637,Confident,Confident,Confident,Confident,Guessing,Confident,Confident,Confident,Guessing,Completely confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Neither,Confident,Neither,Completely guessing
4655,Neither,Completely confident,Confident,Confident,Completely confident,Neither,Completely confident,Confident,Neither,Completely confident,Confident,Confident,Confident,Confident,Neither,Completely confident,Completely confident,Confident,Confident,Guessing
4774,Completely confident,Completely confident,Guessing,Completely confident,Completely confident,Confident,Confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Completely confident,Confident,Neither,Completely confident,Confident,Confident,Guessing,Confident
4776,Completely confident,Confident,Confident,Guessing,Completely confident,Neither,Confident,Confident,Guessing,Confident,Confident,Neither,Confident,Confident,Confident,Confident,Confident,Confident,Neither,Confident
4835,Confident,Confident,Confident,Confident,Neither,Confident,Confident,Neither,Neither,Confident,Neither,Guessing,Confident,Neither,Neither,Completely confident,Neither,Confident,Guessing,Guessing
4940,Confident,Completely confident,Guessing,Completely confident,Completely confident,Confident,Confident,Completely confident,Neither,Completely confident,Confident,Guessing,Completely confident,Confident,Confident,Completely confident,Neither,Confident,Completely confident,Neither
4967,Completely guessing,Completely confident,Confident,Completely confident,Completely confident,Completely confident,Completely confident,Completely confident,Confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Confident,Completely confident,Neither,Completely confident,Completely confident,Confident
4971,Completely guessing,Completely confident,Confident,Completely guessing,Completely confident,Neither,Confident,Confident,Guessing,Confident,Confident,Confident,Completely confident,Completely confident,Confident,Completely confident,Completely guessing,Confident,Confident,Confident
5057,Completely confident,Confident,Neither,Completely confident,Confident,Confident,Completely confident,Completely confident,Neither,Confident,Confident,Guessing,Confident,Completely confident,Confident,Completely confident,Confident,Confident,Confident,Guessing
5069,Confident,Completely confident,Neither,Guessing,Completely confident,Confident,Confident,Confident,Guessing,Confident,Confident,Confident,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Confident
5096,Confident,Completely confident,Guessing,Completely guessing,Confident,Confident,Confident,Completely confident,Neither,Neither,Confident,Confident,Confident,Neither,Confident,Completely confident,Neither,Confident,Neither,Neither
5114,Neither,Completely confident,Confident,Guessing,Completely confident,Neither,Completely confident,Completely confident,Confident,Completely confident,Completely confident,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Confident,Completely confident,Guessing
5128,Confident,Confident,Guessing,Completely confident,Guessing,Confident,Confident,Completely confident,Guessing,Confident,Confident,Neither,Confident,Confident,Confident,Completely confident,Guessing,Confident,Guessing,Guessing
5217,Completely confident,Completely confident,Guessing,Confident,Guessing,Confident,Confident,Completely confident,Guessing,Confident,Completely confident,Confident,Confident,Completely confident,Confident,Completely confident,Confident,Guessing,Neither,Confident
5223,Neither,Confident,Guessing,Confident,Neither,Neither,Confident,Completely confident,Guessing,Confident,Confident,Guessing,Confident,Completely confident,Neither,Completely confident,Completely guessing,Confident,Neither,Confident
5326,Confident,Confident,Neither,Guessing,Confident,Guessing,Confident,Confident,Guessing,Confident,Neither,Neither,Confident,Confident,Confident,Confident,Guessing,Confident,Confident,Guessing
5383,Neither,Completely confident,Neither,Confident,Neither,Confident,Confident,Confident,Guessing,Completely confident,Neither,Neither,Confident,Confident,Confident,Completely confident,Completely guessing,Confident,Confident,Guessing
5387,Neither,Completely confident,Guessing,Confident,Neither,Confident,Completely confident,Completely confident,Neither,Neither,Confident,Completely confident,Completely confident,Confident,Completely confident,Completely confident,Completely guessing,Confident,Neither,Confident
5438,Confident,Confident,Guessing,Completely guessing,Confident,Neither,Confident,Completely confident,Guessing,Neither,Confident,Neither,Completely confident,Confident,Confident,Completely confident,Completely guessing,Confident,Guessing,Guessing
5449,Neither,Completely confident,Guessing,Neither,Confident,Confident,Confident,Completely confident,Guessing,Neither,Neither,Guessing,Neither,Confident,Confident,Completely confident,Neither,Confident,Neither,Guessing
5500,Guessing,Completely confident,Confident,Guessing,Confident,Guessing,Confident,Completely confident,Confident,Confident,Confident,Confident,Neither,Confident,Confident,Confident,Completely guessing,Confident,Confident,Completely confident
5543,Neither,Confident,Guessing,Guessing,Neither,Neither,Confident,Confident,Neither,Confident,Neither,Guessing,Confident,Confident,Confident,Completely confident,Neither,Confident,Confident,Guessing
